1991,9,3.7679,13,8,9
1991,10,4.4295,10,11,10
1991,11,7.4219,0,4,26
1991,12,7.0804,1.1071,4.4286,25.464
1992,1,6.6819,2.0667,7.2333,21.7
1992,2,6.3375,2.2308,8.9231,17.846
1992,3,NaN,7,6,9
1992,4,6.1653,4,10,16
1992,5,4.2075,10,11,10
1992,6,4.9685,7,12,11
1992,7,4.5563,12,7,12
1992,8,3.8063,12,12,7
1992,9,5.3089,3,16,11
1992,10,6.573,1,10,20
1992,11,6.6295,2,6,22
1992,12,6.5449,4.1333,3.1,23.767
1993,1,4.4185,12,4,15
1993,2,4.5291,9,8,11
1993,3,6.1801,3.2069,8.5517,19.241
1993,4,7.0467,0,6,24
1993,5,6.0526,2,9,20
1993,6,6.4716,1,10,19
1993,7,6.5993,3,4,24
1993,8,4.81,9,10,12
1993,9,3.0953,16,8,6
1993,10,5.8485,4.5926,8.037,18.37
1993,11,5.8293,3.1034,9.3103,17.586
1993,12,6.6775,3.3214,2.2143,25.464
1994,1,NaN,0,3,22
1994,2,7.2923,1.12,1.12,25.76
1994,3,5.5965,7,6,18
1994,4,7.0014,0,7,23
1994,5,5.9026,4,12,15
1994,6,5.4255,5.1724,9.3103,15.517
1994,7,3.3625,11,14,6
1994,8,4.0873,9,16,6
1994,9,4.736,8,12,10
1994,10,6.0021,2.0667,13.433,15.5
1994,11,6.8264,1,6,23
1994,12,6.3669,5,4,22
1995,1,5.8124,6,6,19
1995,2,6.1072,4.3077,3.2308,20.462
1995,3,5.5405,7,7,17
1995,4,6.1329,4,6,20
1995,5,4.3488,11,9,11
1995,6,5.3624,6,7,17
1995,7,4.3756,9,11,11
1995,8,4.9084,8,9,14
1995,9,4.8327,7,13,10
1995,10,6.3367,3.1,6.2,21.7
1995,11,6.8757,1.1111,5.5556,23.333
1995,12,6.3763,2.2143,8.8571,19.929
1996,1,7.0681,2,2,27
1996,2,4.9778,7,8,14
1996,3,6.1292,4.2759,5.3448,21.379
1996,4,6.8011,0,10,20
1996,5,6.2578,3,7,21
1996,6,5.1469,3.3333,14.444,12.222
1996,8,NaN,0,0,0
1996,9,NaN,0,0,0
1996,10,NaN,0,0,0
1996,11,NaN,0,0,0
1996,12,NaN,0,0,0
1997,1,NaN,0,0,2.2143
1997,2,NaN,0,0,0
1997,3,NaN,0,0,0
1997,4,NaN,0,0,0
1997,5,NaN,0,0,0
1997,6,NaN,0,0,0
1997,7,NaN,0,0,0
1997,8,NaN,0,0,0
1997,9,NaN,0,0,0
1997,10,NaN,0,0,0
1997,11,NaN,0,0,0
1997,12,NaN,0,0,0
1998,1,NaN,0,0,0
1998,2,NaN,0,0,0
1998,3,NaN,0,0,0
1998,4,NaN,0,0,0
1998,5,NaN,0,0,0
1998,6,NaN,0,0,0
1998,7,NaN,0,0,0
1998,8,NaN,0,0,0
1998,9,NaN,0,0,0
1998,10,NaN,0,0,0
1998,11,NaN,0,0,0
1998,12,NaN,3.1,5.1667,16.533
1999,1,6.2533,4.1333,7.2333,19.633
1999,2,6.2501,3,5,20
1999,3,5.3993,4,16,11
1999,4,4.4566,8,11,11
1999,5,4.8558,8,13,10
1999,6,6.0538,4,7,19
1999,7,3.6183,13,9,9
1999,8,4.3126,9,11,11
1999,9,2.7059,16,10,4
1999,10,4.5189,10.333,9.3,11.367
1999,11,5.9507,5,7,18
1999,12,6.5716,1.1923,9.5385,20.269

